cid,CAS,organism,testtype,route,dose_mg_per_kg,effect,reference,cmpdname
15939,4685-14-7,man,LDLo,oral,200,"LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; KIDNEY, URETER, AND BLADDER: RENAL FUNCTION TESTS DEPRESSED","Medical Journal of Australia., 158(28), 1993 [PMID:8417286]",Paraquat
15965,1918-02-01,rat,LD50,oral,8200,,"Down to Earth., 35(25), 1979",Picloram
16248,2032-65-7,rat,LD50,oral,20,,"Farm Chemicals Handbook., -(C199), 1991",Methiocarb
16248,2032-65-7,rat,LD50,skin,350,,"Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(105), 1966",Methiocarb
16248,2032-65-7,rat,LD50,unreported,100,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(194), 1971",Methiocarb
16248,2032-65-7,mouse,LD50,intraperitoneal,16,,"Toxicology and Applied Pharmacology., 6(402), 1964",Methiocarb
16248,2032-65-7,mouse,LD50,subcutaneous,940,,"Toho Igakkai Zasshi.  Journal of Medical Society of Toho University., 17(60), 1970",Methiocarb
16248,2032-65-7,guinea pig,LD50,oral,40,,"Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976",Methiocarb
16248,2032-65-7,pigeon,LD50,oral,13,,"Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]",Methiocarb
16248,2032-65-7,chicken,LD50,oral,179,BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Toxicology and Applied Pharmacology., 7(606), 1965 [PMID:5839395]",Methiocarb
16248,2032-65-7,duck,LD50,oral,13,,"Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]",Methiocarb
16248,2032-65-7,bird - wild,LD50,skin,100,,"Toxicology and Applied Pharmacology., 26(154), 1973 [PMID:4748134]",Methiocarb
16562,2164-17-2,rat,LD50,oral,1450,,"Farmakologiya i Toksikologiya, 35(352), 1972 [PMID:5047307]",Fluometuron
16562,2164-17-2,rat,LD50,intraperitoneal,685,,"Proceedings of the European Society of Toxicology., 17(351), 1976",Fluometuron
16562,2164-17-2,mouse,LD50,oral,900,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: COMA; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY STIMULATION","Ciba-Geigy Toxicology Data/Indexes., -(-), 1977",Fluometuron
16562,2164-17-2,mouse,LD50,intraperitoneal,552,,"Proceedings of the European Society of Toxicology., 17(351), 1976",Fluometuron
16562,2164-17-2,mouse,LD50,unreported,850,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(233), 1971",Fluometuron
16562,2164-17-2,rabbit,LD50,oral,2500,,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(116), 1982",Fluometuron
16562,2164-17-2,guinea pig,LD50,oral,810,,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(116), 1982",Fluometuron
16683004,13356-08-6,rat,LD50,oral,2630,,"Agricultural Chemicals, Thomson, W.T., 4 vols., Fresno, CA, Thomson Publications, 1976/77 revision, 1(17), 1977",Fenbutatin oxide
16683004,13356-08-6,mouse,LD50,oral,1450,,"Pesticide Manual., 9(364), 1991",Fenbutatin oxide
16683004,13356-08-6,dog,LD50,oral,1500,,"Pesticide Manual., 9(364), 1991",Fenbutatin oxide
16686,2227-17-0,rat,LD50,oral,1200,,"Agricultural Research Service, USDA Information Memorandum., 20(13), 1966",Dienochlor
16686,2227-17-0,rat,LD50,unreported,3100,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(55), 1971",Dienochlor
16686,2227-17-0,mouse,LD50,oral,16900,,"Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 15(511), 1990",Dienochlor
16686,2227-17-0,quail,LD50,oral,705,,"Pesticide Manual., 9(271), 1991",Dienochlor
17110,2439-10-03,rat,LD50,oral,660,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA; GASTROINTESTINAL: OTHER CHANGES","Toxicology and Applied Pharmacology., 3(127), 1961 [PMID:13761521]",Dodine
17110,2439-10-03,rabbit,LD50,oral,535,,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(64), 1982",Dodine
17110,2439-10-03,rabbit,LD50,skin,2100,"GASTROINTESTINAL: ULCERATION OR BLEEDING FROM STOMACH; BLOOD: HEMORRHAGE; SKIN AND APPENDAGES (SKIN): DERMATITIS, OTHER: AFTER SYSTEMIC EXPOSURE","Toxicology and Applied Pharmacology., 3(127), 1961 [PMID:13761521]",Dodine
17110,2439-10-03,guinea pig,LD50,oral,176,,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(64), 1982",Dodine
17110,2439-10-03,quail,LD50,oral,788,,"Pesticide Manual., 9(326), 1991",Dodine
17110,2439-10-03,duck,LD50,oral,1142,,"Pesticide Manual., 9(326), 1991",Dodine
17110,2439-10-03,mouse,LD50,oral,266,,"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(64), 1982",Dodine
17432,2593-15-9,rat,LD50,oral,1077,,"Pesticide Index, Frear, E.H., ed., State College, PA, College Science Pub., 1969, 5(110), 1976",Etridiazole
17432,2593-15-9,dog,LD50,oral,5000,,"Toxicology and Applied Pharmacology., 19(400), 1971",Etridiazole
17432,2593-15-9,rabbit,LD50,oral,779,,"Toxicology and Applied Pharmacology., 56(164), 1980 [PMID:7466816]",Etridiazole
17432,2593-15-9,rabbit,LD50,skin,1700,,"Farm Chemicals Handbook., -(C131), 1991",Etridiazole
19649,57-92-1,human,TDLo,oral,400,SENSE ORGANS AND SPECIAL SENSES: CHANGES IN VESTIBULAR FUNCTIONS: EAR,"Revue Medicale de la Suisse Romande., 73(854), 1953 [PMID:13135116]",Streptomycin
19649,57-92-1,human,TDLo,intraperitoneal,143,"VASCULAR: BP LOWERING NOT CHARACTERIZED IN AUTONOMIC SECTION; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION; LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","British Medical Journal., 1(556), 1961",Streptomycin
19649,57-92-1,human,TDLo,parenteral,28,BLOOD: EOSINOPHILIA,"Revue Medicale de la Suisse Romande., 73(820), 1953 [PMID:13135114]",Streptomycin
19649,57-92-1,rat,LDLo,subcutaneous,600,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,rat,LDLo,intravenous,175,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,mouse,LD50,oral,500,,"Yakkyoku.  Pharmacy., 38(1493), 1987",Streptomycin
19649,57-92-1,mouse,LD50,subcutaneous,520,,"British Journal of Pharmacology and Chemotherapy., 15(496), 1960 [PMID:13681273]",Streptomycin
19649,57-92-1,mouse,LD50,unreported,90,,"Arzneimittel-Forschung. Drug Research., 5(213), 1955 [PMID:14389152]",Streptomycin
19649,57-92-1,dog,LDLo,subcutaneous,300,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,monkey,LDLo,subcutaneous,400,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,cat,LDLo,subcutaneous,600,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,cat,LDLo,intravenous,150,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,rabbit,LDLo,subcutaneous,600,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,rabbit,LDLo,intravenous,175,,"Naturwissenschaften., 43(183), 1956",Streptomycin
19649,57-92-1,guinea pig,LDLo,subcutaneous,600,,"Antibiotics: Origin, Nature, and Properties, Korzyoski, T., et al., eds., Washington, DC, American Soc. for Microbiology, 1978, 1(570), 1978",Streptomycin
19649,57-92-1,mouse,LD50,intraperitoneal,525,,"Strahlentherapie., 127(245), 1965 [PMID:5834417]",Streptomycin
1982,30560-19-1,rat,LD50,oral,700,,"United States Patent Document., #3716600",Acephate
1982,30560-19-1,rat,LD50,skin,2500,,"Fundamental and Applied Toxicology., 7(299), 1986",Acephate
1982,30560-19-1,mouse,LD50,oral,233,,"Zhonghua Yufangyixue Zazhi.  Chinese Journal of Preventive Medicine., 14(226), 1980 [PMID:7238189]",Acephate
1982,30560-19-1,dog,LDLo,oral,681,,"Guide to the Chemicals Used in Crop Protection., 6(1), 1973",Acephate
1982,30560-19-1,chicken,LD50,oral,800,,"Neurotoxicology., 11(483), 1990 [PMID:2284053]",Acephate
1982,30560-19-1,chicken,LD50,unreported,568,,"Defense des Vegetaux., 28(231), 1974",Acephate
1982,30560-19-1,duck,LD50,oral,350,,"Pesticide Index, Frear, E.H., ed., State College, PA, College Science Pub., 1969, 5(4), 1976",Acephate
1982,30560-19-1,bird - wild,LD50,oral,140,,"Pesticide Manual., 9(4), 1991",Acephate
1982,30560-19-1,mammal (species unspecified),LD50,oral,321,,"Archives of Environmental Contamination and Toxicology., 13(483), 1984 [PMID:6380419]",Acephate
1982,30560-19-1,bird - domestic,LD50,oral,106,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Archives of Environmental Contamination and Toxicology., 10(185), 1981 [PMID:7224670]",Acephate
1988,34256-82-1,rat,LD50,oral,763,,"Problemi na Khigienata.  Problems in Hygiene., 15(96), 1990 [PMID:2099469]",Acetochlor
1988,34256-82-1,rat,LD50,intraperitoneal,1200,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 29(12)(53), 1985",Acetochlor
1988,34256-82-1,mouse,LD50,oral,1550,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 29(12)(53), 1985",Acetochlor
1988,34256-82-1,rabbit,LD50,oral,600,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 53(5)(84), 1988",Acetochlor
1988,34256-82-1,rabbit,LDLo,skin,1260,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: FOOD INTAKE (ANIMAL); LIVER: OTHER CHANGES,"National Technical Information Service., OTS0536766",Acetochlor
2078,15972-60-8,rat,LD50,oral,930,,"Toxicology and Industrial Health., 3(383), 1987 [PMID:3686540]",Alachlor
2078,15972-60-8,rat,LD50,skin,1200,,"Yakkyoku.  Pharmacy., 38(89), 1987",Alachlor
2078,15972-60-8,rat,LDLo,intraperitoneal,600,LIVER: OTHER CHANGES,"Toxicologist., 48(392), 1999",Alachlor
2078,15972-60-8,mouse,LD50,oral,462,,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 21(12)(30), 1977",Alachlor
2078,15972-60-8,rabbit,LD50,oral,1740,,"Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 24(75), 1999",Alachlor
2078,15972-60-8,rabbit,LD50,skin,3500,,"Guide to the Chemicals Used in Crop Protection., 6(3), 1973",Alachlor
2078,15972-60-8,mammal (species unspecified),LD50,unreported,1200,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(126), 1971",Alachlor
21307,5234-68-4,rat,LD50,oral,430,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY),"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 23(2)(55), 1979",Carboxin
21307,5234-68-4,rat,LD50,skin,1050,,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 23(2)(55), 1979",Carboxin
21307,5234-68-4,mouse,LD50,oral,3200,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY),"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 23(2)(55), 1979",Carboxin
21307,5234-68-4,mammal (species unspecified),LD50,unreported,3200,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(423), 1971",Carboxin
21873022,81405-85-8,rabbit,LD50,oral,4500,,"Weeds and Weed Control., 28(1), 1987",Imazamethabenz
21954,123-33-1,rat,LD50,oral,3800,,"World Review of Pest Control., 9(119), 1970",Maleic hydrazide
22188,5902-51-2,rat,LD50,parenteral,7500,,"Defense des Vegetaux., 26(5), 1972",Terbacil
22188,5902-51-2,rat,LD50,oral,1700,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LUNGS, THORAX, OR RESPIRATION: DYSPNEA; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","National Technical Information Service., OTS0570807",Terbacil
2328,25057-89-0,rat,LD50,oral,1100,,"Guide to the Chemicals Used in Crop Protection., 6(36), 1973",Bentazone
2328,25057-89-0,rat,LD50,skin,2500,,"Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976",Bentazone
2328,25057-89-0,rat,LD50,parenteral,1100,,"Defense des Vegetaux., 26(5), 1972",Bentazone
2328,25057-89-0,mouse,LD50,oral,1130,,"Yakkyoku.  Pharmacy., 37(319), 1986",Bentazone
2328,25057-89-0,dog,LD50,oral,450,,"Pesticide Science., 3(242a), 1972",Bentazone
2328,25057-89-0,cat,LD50,oral,500,,"Guide to the Chemicals Used in Crop Protection., 6(36), 1973",Bentazone
2328,25057-89-0,rabbit,LD50,oral,750,,"Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976",Bentazone
2328,25057-89-0,quail,LD50,oral,720,,"Guide to the Chemicals Used in Crop Protection., 6(36), 1973",Bentazone
23664719,2163-80-6,rat,LD50,oral,700,,"Farm Chemicals Handbook., -(C211), 1991",Monosodium methanearsonate
23664719,2163-80-6,rabbit,LD50,oral,102,"BEHAVIORAL: MUSCLE WEAKNESS; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA; KIDNEY, URETER, AND BLADDER: URINE VOLUME DECREASED","Bulletin of Environmental Contamination and Toxicology., 40(119), 1988 [PMID:3345356]",Monosodium methanearsonate
23664719,2163-80-6,rabbit,LD50,skin,2500,,"Farm Chemicals Handbook., -(C211), 1991",Monosodium methanearsonate
23664719,2163-80-6,cattle,LD50,oral,230,,"Bulletin of Environmental Contamination and Toxicology., 40(119), 1988 [PMID:3345356]",Monosodium methanearsonate
23664719,2163-80-6,mammal (species unspecified),LD50,unreported,50,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(260), 1971",Monosodium methanearsonate
23664719,2163-80-6,mouse,LD50,oral,300,,"Bulletin of Environmental Contamination and Toxicology., 22(143), 1979 [PMID:465771]",Monosodium methanearsonate
23665571,143-18-0,rat,LC50,inhalation,5610,,"Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 24(424), 1999",Potassium oleate
23978,7440-50-8,rabbit,LDLo,subcutaneous,375,"LIVER: HEPATITIS (HEPATOCELLULAR NECROSIS), ZONAL; LIVER: OTHER CHANGES; KIDNEY, URETER, AND BLADDER: OTHER CHANGES","American Journal of Pathology., 1(117), 1925",Copper
23994,7440-66-6,duck,LDLo,oral,388,AUTONOMIC NERVOUS SYSTEM: OTHER (DIRECT) PARASYMPATHOMIMETIC; BEHAVIORAL: ATAXIA; BLOOD: CHANGES IN LEUCOCYTE (WBC) COUNT,"Journal of Wildlife Diseases., 36(111), 2000 [PMID:10682752]",Zinc
24462,7758-98-7,man,LDLo,oral,857,GASTROINTESTINAL: NAUSEA OR VOMITING,"Archiv fuer Toxikologie., 17(20), 1958",Cupric Sulfate
24462,7758-98-7,child,TDLo,oral,150,"KIDNEY, URETER, AND BLADDER: CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS); BLOOD: OTHER HEMOLYSIS WITH OR WITHOUT ANEMIA","American Journal of Diseases of Children., 131(149), 1977 [PMID:835530]",Cupric Sulfate
24462,7758-98-7,human,LDLo,oral,50,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); KIDNEY, URETER, AND BLADDER: CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS); BLOOD: HEMORRHAGE","JAMA, Journal of the American Medical Association., 235(801), 1976",Cupric Sulfate
24462,7758-98-7,rat,LD50,oral,300,,"Antifungal Compounds, Siegel, M.R., and H.D. Sisler, eds., 2 vols., New York, Marcel Dekker 1977, 1(507), 1977",Cupric Sulfate
24462,7758-98-7,rat,LD50,intraperitoneal,20,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Indian Journal of Pharmacology., 23(153), 1991",Cupric Sulfate
24462,7758-98-7,rat,LD50,subcutaneous,43,,"Proceedings of the European Society of Toxicology., 16(252), 1975",Cupric Sulfate
24462,7758-98-7,rat,LD50,unreported,520,,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 26(6)(21), 1982",Cupric Sulfate
24462,7758-98-7,mouse,LD50,oral,369,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD,"Indian Journal of Pharmacology., 23(153), 1991",Cupric Sulfate
24462,7758-98-7,rabbit,LD50,intravenous,10,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: FOOD INTAKE (ANIMAL); GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA","Journal of Industrial Hygiene and Toxicology., 31(301), 1949",Cupric Sulfate
24462,7758-98-7,guinea pig,LDLo,intravenous,2,,"Environmental Quality and Safety, Supplement., 1(1), 1975 [PMID:1057514]",Cupric Sulfate
24462,7758-98-7,frog,LDLo,intravenous,25,,"Handbook of Toxicology, 4 vols., Philadelphia, W.B. Saunders Co., 1956-59, 1(76), 1955",Cupric Sulfate
24462,7758-98-7,human,TDLo,oral,11,"GASTROINTESTINAL: GASTRITIS; GASTROINTESTINAL: HYPERMOTILITY, DIARRHEA; GASTROINTESTINAL: NAUSEA OR VOMITING","Lancet., 2(700), 1960 [PMID:13750037]",Cupric Sulfate
24743,13684-56-5,rat,LD50,oral,9600,,"Agricultural Chemicals, Thomson, W.T., 4 vols., Fresno, CA, Thomson Publications, 1976/77 revision, 2(92), 1977",Desmedipham
24743,13684-56-5,mouse,LD50,oral,500,,"Pesticide Manual., 9(237), 1991",Desmedipham
24743,13684-56-5,quail,LD50,oral,2480,,"Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976",Desmedipham
24744,13684-63-4,rat,LD50,skin,500,,"World Review of Pest Control., 9(119), 1970",Phenmedipham
24744,13684-63-4,rat,LD50,unreported,800,,"Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases., 26(6)(21), 1982",Phenmedipham
25670,13071-79-9,quail,LD50,oral,15,"BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Ecotoxicology and Environmental Safety., 8(551), 1984 [PMID:6510327]",Terbufos
27189,15299-99-7,rabbit,LD50,skin,4640,,"Pesticide & Toxic Chemical News., 8(22), 1980",Napropamide
2728,101-21-3,rat,LD50,oral,1200,"SENSE ORGANS AND SPECIAL SENSES: OTHER: EYE; BEHAVIORAL: ATAXIA; LUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSION","Archives of Environmental Health., 19(621), 1969 [PMID:5350433]",Chlorpropham
2728,101-21-3,rat,LD50,intraperitoneal,700,,"Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales., 175(496), 1981 [PMID:6457673]",Chlorpropham
2728,101-21-3,rat,LD50,unreported,3350,,"Environmental Quality and Safety, Supplement., 3(618), 1975 [PMID:1063688]",Chlorpropham
2728,101-21-3,mouse,LD50,oral,3650,,"Food Additives and Contaminants., 16(173), 1999 [PMID:10560570]",Chlorpropham
2728,101-21-3,mouse,LD50,intraperitoneal,2600,,"Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales., 175(496), 1981 [PMID:6457673]",Chlorpropham
2730,2921-88-2,man,TDLo,oral,300,PERIPHERAL NERVE AND SENSATION: PARESTHESIS; BEHAVIORAL: MUSCLE WEAKNESS; BEHAVIORAL: COMA,"Archives of Toxicology., 59(176), 1986 [PMID:2434058]",Chlorpyrifos
2730,2921-88-2,rat,LD50,oral,82,,"Toxicology and Applied Pharmacology., 14(515), 1969 [PMID:5787520]",Chlorpyrifos
2730,2921-88-2,rat,LD50,skin,202,,"Toxicology and Applied Pharmacology., 14(515), 1969 [PMID:5787520]",Chlorpyrifos
2730,2921-88-2,rat,LD50,unreported,150,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(339), 1971",Chlorpyrifos
2730,2921-88-2,mouse,LD50,oral,60,,"Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes., 13(11), 1978 [PMID:75904]",Chlorpyrifos
2730,2921-88-2,mouse,LD50,skin,120,,"Yakkyoku.  Pharmacy., 38(745), 1987",Chlorpyrifos
2730,2921-88-2,guinea pig,LD50,oral,504,,"Farm Chemicals Handbook., -(C74), 1991",Chlorpyrifos
2730,2921-88-2,guinea pig,LDLo,subcutaneous,100,,"Journal of Economic Entomology., 60(733), 1967",Chlorpyrifos
2730,2921-88-2,pigeon,LD50,oral,10,,"ASTM Special Technical Publication., (680)(157), 1979",Chlorpyrifos
2730,2921-88-2,duck,LD50,oral,76,,"Toxicology and Applied Pharmacology., 20(57), 1971 [PMID:5110827]",Chlorpyrifos
2730,2921-88-2,mammal (species unspecified),LD50,unreported,163,,"Journal of Agricultural and Food Chemistry., 27(712), 1979",Chlorpyrifos
2730,2921-88-2,bird - wild,LD50,oral,5,,"Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]",Chlorpyrifos
2730,2921-88-2,mouse,LD50,intraperitoneal,192,,"Toxicology and Applied Pharmacology., 65(144), 1982 [PMID:6183791]",Chlorpyrifos
27982,16672-87-0,rat,LD50,oral,3400,,"Zhurnal Eksperimental'noi i Klinicheskoi Meditsiny.  Journal of Experimental and Clinical Medicine., 20(274), 1980",Ethephon
27982,16672-87-0,mouse,LD50,oral,2850,,"Pharmazie., 32(181), 1977",Ethephon
27982,16672-87-0,mouse,LD50,intraperitoneal,1500,,"Journal of Agricultural and Food Chemistry., 39(380), 1991",Ethephon
27982,16672-87-0,rabbit,LD50,skin,5730,,"Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976",Ethephon
27982,16672-87-0,guinea pig,LD50,oral,4200,"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","Gigiena i Sanitariya.  For English translation, see HYSAAV., 48(8)(79), 1983",Ethephon
27982,16672-87-0,quail,LD50,oral,1072,,"Pesticide Manual., 9(341), 1991",Ethephon
27982,16672-87-0,mammal (species unspecified),LD50,unreported,4200,,"Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(384), 1971",Ethephon
2912,52315-07-8,rat,LD50,skin,1600,,"Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A110(1984)",Cypermethrin
2912,52315-07-8,rat,LD50,intraperitoneal,404,BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: EXCITEMENT,"Weisheng Dulixue Zazhi.  Journal of Health Toxicology., 3(184), 1989",Cypermethrin
2912,52315-07-8,rat,LDLo,intravenous,6,BEHAVIORAL: TREMOR; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY),"Archives of Toxicology., 45(325), 1980 [PMID:7447703]",Cypermethrin
2912,52315-07-8,rat,LD50,unreported,400,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 49(10)(70), 1984",Cypermethrin
2912,52315-07-8,mouse,LD50,intraperitoneal,25,,"Indian Journal of Pharmacology., 22(42), 1990",Cypermethrin
2912,52315-07-8,rabbit,LD50,oral,1500,BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS,"Journal of Environmental Biology., 11(331), 1990",Cypermethrin
2912,52315-07-8,rabbit,LD50,skin,2400,,"Pesticide Manual., 9(208), 1991",Cypermethrin
2912,52315-07-8,guinea pig,LD50,oral,500,,"Defense des Vegetaux., 34(3), 1980",Cypermethrin
2912,52315-07-8,hamster,LD50,oral,400,,"Defense des Vegetaux., 34(3), 1980",Cypermethrin
2912,52315-07-8,mammal (species unspecified),LD50,skin,2355,,"Gigiena i Sanitariya.  For English translation, see HYSAAV., 56(4)(83), 1991",Cypermethrin
29393,19044-88-3,rat,LD50,oral,10000,,"Agricultural Chemicals, Thomson, W.T., 4 vols., Fresno, CA, Thomson Publications, 1976/77 revision, 2(44), 1977",Oryzalin
