"cid","organism","testtype","route","dose","effect","reference","cmpdname","...9"
"2730","rat","LD50","unreported","150 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(339), 1971","Chlorpyrifos",NA
"2730","mouse","LD50","oral","60 mg/kg","NULL","Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes., 13(11), 1978 [PMID:75904]","Chlorpyrifos",NA
"2730","mouse","LD50","skin","120 mg/kg","NULL","Yakkyoku.  Pharmacy., 38(745), 1987","Chlorpyrifos",NA
"2730","guinea pig","LD50","oral","504 mg/kg","NULL","Farm Chemicals Handbook., -(C74), 1991","Chlorpyrifos",NA
"2730","guinea pig","LDLo","subcutaneous","100 mg/kg","NULL","Journal of Economic Entomology., 60(733), 1967","Chlorpyrifos",NA
"2730","pigeon","LD50","oral","10 mg/kg","NULL","ASTM Special Technical Publication., (680)(157), 1979","Chlorpyrifos",NA
"2730","duck","LD50","oral","76 mg/kg","NULL","Toxicology and Applied Pharmacology., 20(57), 1971 [PMID:5110827]","Chlorpyrifos",NA
"2730","mammal (species unspecified)","LD50","unreported","163 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 27(712), 1979","Chlorpyrifos",NA
"2730","bird - wild","LD50","oral","5 mg/kg","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","Chlorpyrifos",NA
"2730","mouse","LD50","intraperitoneal","192 mg/kg","NULL","Toxicology and Applied Pharmacology., 65(144), 1982 [PMID:6183791]","Chlorpyrifos",NA
"27982","rat","LD50","oral","3400 mg/kg","NULL","Zhurnal Eksperimental'noi i Klinicheskoi Meditsiny.  Journal of Experimental and Clinical Medicine., 20(274), 1980","Ethephon",NA
"27982","mouse","LD50","oral","2850 mg/kg","NULL","Pharmazie., 32(181), 1977","Ethephon",NA
"27982","mouse","LD50","intraperitoneal","1500 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 39(380), 1991","Ethephon",NA
"27982","rabbit","LD50","skin","5730 mg/kg","NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Ethephon",NA
"27982","guinea pig","LD50","oral","4200 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY); LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES","Gigiena i Sanitariya.  For English translation, see HYSAAV., 48(8)(79), 1983","Ethephon",NA
"27982","quail","LD50","oral","1072 mg/kg","NULL","Pesticide Manual., 9(341), 1991","Ethephon",NA
"27982","mammal (species unspecified)","LD50","unreported","4200 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(384), 1971","Ethephon",NA
"2912","rat","LD50","skin","1600 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A110(1984)","Cypermethrin",NA
"2912","rat","LD50","intraperitoneal","404 mg/kg","BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: EXCITEMENT","Weisheng Dulixue Zazhi.  Journal of Health Toxicology., 3(184), 1989","Cypermethrin",NA
"2912","rat","LDLo","intravenous","6 mg/kg","BEHAVIORAL: TREMOR; BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY); BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)","Archives of Toxicology., 45(325), 1980 [PMID:7447703]","Cypermethrin",NA
"2912","rat","LD50","unreported","400 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 49(10)(70), 1984","Cypermethrin",NA
"2912","mouse","LD50","intraperitoneal","25 mg/kg","NULL","Indian Journal of Pharmacology., 22(42), 1990","Cypermethrin",NA
"2912","rabbit","LD50","oral","1500 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","Journal of Environmental Biology., 11(331), 1990","Cypermethrin",NA
"2912","rabbit","LD50","skin","2400 mg/kg","NULL","Pesticide Manual., 9(208), 1991","Cypermethrin",NA
"2912","guinea pig","LD50","oral","500 mg/kg","NULL","Defense des Vegetaux., 34(3), 1980","Cypermethrin",NA
"2912","hamster","LD50","oral","400 mg/kg","NULL","Defense des Vegetaux., 34(3), 1980","Cypermethrin",NA
"2912","mammal (species unspecified)","LD50","skin","2355 mg/kg","NULL","Gigiena i Sanitariya.  For English translation, see HYSAAV., 56(4)(83), 1991","Cypermethrin",NA
"29393","rat","LD50","oral","10000 mg/kg","NULL","Agricultural Chemicals, Thomson, W.T., 4 vols., Fresno, CA, Thomson Publications, 1976/77 revision, 2(44), 1977","Oryzalin",NA
"29732","rat","LD50","oral","3500 mg/kg","NULL","Agricultural Chemicals, Thomson, W.T., 4 vols., Fresno, CA, Thomson Publications, 1976/77 revision, 2(205), 1977","Oxadiazon",NA
"29732","rat","LD50","skin","5200 mg/kg","NULL","Nippon Yakurigaku Zasshi.  Japanese Journal of Pharmacology., 69(2)(48P), 1973","Oxadiazon",NA
"3017","human","TDLo","oral","214 mg/kg","BEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY); BEHAVIORAL: MUSCLE WEAKNESS; SKIN AND APPENDAGES (SKIN): SWEATING: OTHER","Clinical Toxicology., 12(435), 1978 [PMID:657758]","Diazinon",NA
"3017","rat","LD50","oral","66 mg/kg","NULL","Down to Earth., 35(25), 1979","Diazinon",NA
"3017","rat","LD50","skin","180 mg/kg","NULL","Proceedings of the Annual Meeting of the New Jersey Mosquito Extermination Association., -(155), 1957","Diazinon",NA
"3017","rat","LD50","intratracheal","210 mg/kg","NULL","JAT, Journal of Applied Toxicology., 19(133), 1999 [PMID:10215185]","Diazinon",NA
"3017","rat","LD50","unreported","250 mg/kg","NULL","Rinsho Shinkeigaku.  Clinical Neurology., 23(101), 1983","Diazinon",NA
"3017","mouse","LD50","oral","17 mg/kg","NULL","Shokuhin Eiseigaku Zasshi.  Food Hygiene Journal., 24(268), 1983","Diazinon",NA
"3017","mouse","LD50","skin","2750 mg/kg","NULL","Journal of Toxicology and Environmental Health., 9(491), 1982 [PMID:7097799]","Diazinon",NA
"3017","mouse","LD50","intraperitoneal","33 mg/kg","NULL","Toxicology and Applied Pharmacology., 2(495), 1960 [PMID:13750404]","Diazinon",NA
"3017","mouse","LD50","subcutaneous","58 mg/kg","NULL","Osaka Igaku Zasshi., 71(6099), 1959","Diazinon",NA
"3017","mouse","LD50","intravenous","180 mg/kg","NULL","U.S. Army Armament Research & Development Command, Chemical Systems Laboratory, NIOSH Exchange Chemicals., NX#00023","Diazinon",NA
"3017","rabbit","LD50","oral","143 mg/kg","NULL","Yakkyoku.  Pharmacy., 31(459), 1980","Diazinon",NA
"3017","rabbit","LD50","skin","3600 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A131(1983)","Diazinon",NA
"3017","pig","LD50","oral","320 mg/kg","NULL","Yakkyoku.  Pharmacy., 31(459), 1980","Diazinon",NA
"3017","pig","LD50","skin","633 mg/kg","NULL","Yakkyoku.  Pharmacy., 31(459), 1980","Diazinon",NA
"3017","guinea pig","LD50","oral","250 mg/kg","NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Diazinon",NA
"3017","mammal (species unspecified)","LD50","unreported","76 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(338), 1971","Diazinon",NA
"3017","bird - wild","LD50","oral","2 mg/kg","NULL","Toxicology and Applied Pharmacology., 21(315), 1972 [PMID:5027965]","Diazinon",NA
"3017","rat","LD50","intraperitoneal","65 mg/kg","NULL","Arzneimittel-Forschung. Drug Research., 5(436), 1955 [PMID:13276245]","Diazinon",NA
"3030","rat","LD50","oral","1039 mg/kg","NULL","Fundamental and Applied Toxicology., 7(299), 1986","Dicamba",NA
"3030","mouse","LD50","oral","1190 mg/kg","NULL","Hygiene and Sanitation, 35(7-9)(14), 1970","Dicamba",NA
"3030","mouse","LD50","unreported","700 mg/kg","NULL","Tsitologiya i Genetika.  Cytology and Genetics.  For English translation, see CYGEDX., 16(1)(45), 1982","Dicamba",NA
"3031","rat","LD50","oral","2710 mg/kg","NULL","Residue Reviews., 10(97), 1965 [PMID:4865270]","2,6-Dichlorobenzonitrile",NA
"3031","rat","LD50","unreported","500 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(145), 1971","2,6-Dichlorobenzonitrile",NA
"3031","mouse","LD50","oral","2056 mg/kg","NULL","Pesticide Index, Frear, E.H., ed., State College, PA, College Science Pub., 1969, 5(73), 1976","2,6-Dichlorobenzonitrile",NA
"3031","mouse","LD","skin","200 mg/kg","SENSE ORGANS AND SPECIAL SENSES: DEVIATED NASAL SEPTUM: OLFACTION; SENSE ORGANS AND SPECIAL SENSES: OTHER CHANGES: OLFACTION","Neurotoxicology., 15(287), 1994 [PMID:7991217]","2,6-Dichlorobenzonitrile",NA
"3031","mouse","LD50","intraperitoneal","360 mg/kg","NULL","Farmaco, Edizione Scientifica., 41(41), 1986 [PMID:3956718]","2,6-Dichlorobenzonitrile",NA
"3031","rabbit","LD50","oral","270 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); LIVER: OTHER CHANGES","Food and Cosmetics Toxicology., 6(261), 1968 [PMID:4233583]","2,6-Dichlorobenzonitrile",NA
"3031","rabbit","LD50","skin","1350 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(177), 1973","2,6-Dichlorobenzonitrile",NA
"3031","guinea pig","LD50","oral","681 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(337), 1966","2,6-Dichlorobenzonitrile",NA
"3032791","rat","LD50","oral","6640 mg/kg","SENSE ORGANS AND SPECIAL SENSES: CHANGE IN OLFACTORY NERVE: OLFACTION; SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 23(606), 1972 [PMID:4644695]","Thiophanate-methyl",NA
"3032791","rat","LD50","intraperitoneal","1140 mg/kg","SENSE ORGANS AND SPECIAL SENSES: CHANGE IN OLFACTORY NERVE: OLFACTION; SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 23(606), 1972 [PMID:4644695]","Thiophanate-methyl",NA
"3032791","mouse","LD50","oral","3400 mg/kg","SENSE ORGANS AND SPECIAL SENSES: CHANGE IN OLFACTORY NERVE: OLFACTION; BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 23(606), 1972 [PMID:4644695]","Thiophanate-methyl",NA
"3032791","mouse","LD50","intraperitoneal","790 mg/kg","SENSE ORGANS AND SPECIAL SENSES: CHANGE IN OLFACTORY NERVE: OLFACTION; BEHAVIORAL: TREMOR; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 23(606), 1972 [PMID:4644695]","Thiophanate-methyl",NA
"3032791","rabbit","LD50","oral","2270 mg/kg","SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 23(606), 1972 [PMID:4644695]","Thiophanate-methyl",NA
"3032791","guinea pig","LD50","oral","3640 mg/kg","SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY); BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD","Toxicology and Applied Pharmacology., 23(606), 1972 [PMID:4644695]","Thiophanate-methyl",NA
"30332","women","TDLo","oral","60 mg/kg","VASCULAR: OTHER CHANGES; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: GASTRITIS","Human Toxicology., 7(343), 1988 [PMID:3410483]","Aluminum phosphide",NA
"30332","man","TDLo","oral","21 mg/kg","VASCULAR: OTHER CHANGES; GASTROINTESTINAL: GASTRITIS","Human Toxicology., 7(343), 1988 [PMID:3410483]","Aluminum phosphide",NA
"30332","women","LDLo","oral","180 mg/kg","CARDIAC: PULSE RATE INCREASE WITHOUT FALL IN BP; LIVER: JAUNDICE, OTHER OR UNCLASSIFIED; KIDNEY, URETER, AND BLADDER: CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS)","Human Toxicology., 7(343), 1988 [PMID:3410483]","Aluminum phosphide",NA
"30332","man","LDLo","oral","86 mg/kg","BEHAVIORAL: COMA; VASCULAR: OTHER CHANGES; GASTROINTESTINAL: NAUSEA OR VOMITING","Human Toxicology., 7(343), 1988 [PMID:3410483]","Aluminum phosphide",NA
"30479","rat","LD50","oral","1100 mg/kg","NULL","Farm Chemicals Handbook., -(C204), 1991","Metribuzin",NA
"30479","rat","LD50","intraperitoneal","239 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(127), 1987","Metribuzin",NA
"30479","rat","LD50","subcutaneous","814 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(127), 1987","Metribuzin",NA
"30479","mouse","LD50","oral","564 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(127), 1987","Metribuzin",NA
"30479","mouse","LD50","intraperitoneal","210 mg/kg","BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)","Pesticide Biochemistry and Physiology., 23(123), 1984","Metribuzin",NA
"30479","mouse","LD50","subcutaneous","367 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(127), 1987","Metribuzin",NA
"30479","cat","LD50","oral","500 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A280(1983)","Metribuzin",NA
"30479","guinea pig","LD50","oral","250 mg/kg","NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Metribuzin",NA
"30479","quail","LD50","oral","164 mg/kg","NULL","Pesticide Manual., 8(573), 1987","Metribuzin",NA
"30479","quail","LD50","unreported","168 mg/kg","NULL","Farm Chemicals Handbook., -(C204), 1991","Metribuzin",NA
"30692","rat","LD50","oral","679 mg/kg","SENSE ORGANS AND SPECIAL SENSES: MYDRIASIS (PUPILLARY DILATION): EYE; BEHAVIORAL: TREMOR; SKIN AND APPENDAGES (SKIN): HAIR: OTHER","Acute Toxicity Data. Journal of the American College of Toxicology, Part B., 1(207), 1992","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","rabbit","LD50","skin","642 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","rat","LD50","oral","1590 mg/kg","NULL","Buckman Laboratories, Inc., TCMTB(1981)","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","rabbit","LD50","skin","200 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","duck","LD50","oral","1310 mg/kg","NULL","Buckman Laboratories, Inc., TCMTB(1981)","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","rat","LD50","oral","2538 mg/kg","NULL","Buckman Laboratories, Inc., 14FEB1980","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","rat","LD50","intraperitoneal","73 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","rat","LD50","subcutaneous","1300 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","mouse","LD50","oral","445 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","mouse","LD50","intraperitoneal","143 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"30692","mouse","LD50","subcutaneous","205 mg/kg","NULL","Nippon Noyaku Gakkaishi.  Journal of the Pesticide Science Society of Japan., 12(343), 1987","2-(Thiocyanomethylthio)benzothiazole",NA
"3082","man","TDLo","oral","286 mg/kg","PERIPHERAL NERVE AND SENSATION: FASCICULATIONS; BEHAVIORAL: COMA; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Intensive Care Medicine., 12(110), 1986 [PMID:3700838]","Dimethoate",NA
"3082","human","LD50","oral","30 mg/kg","NULL","Guide to the Chemicals Used in Crop Protection., 6(209), 1973","Dimethoate",NA
"3082","man","TDLo","oral","300 mg/kg","BEHAVIORAL: COMA; CARDIAC: PULSE RATE; VASCULAR: BP LOWERING NOT CHARACTERIZED IN AUTONOMIC SECTION","Journal of Toxicology, Clinical Toxicology., 24(69), 1986 [PMID:2871196]","Dimethoate",NA
"3082","man","TDLo","oral","357 mg/kg","BRAIN AND COVERINGS: OTHER DEGENERATIVE CHANGES; CARDIAC: CARDIOMYOPATHY INCLUDING INFARCTION; KIDNEY, URETER, AND BLADDER: CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS)","Journal of Toxicology, Clinical Toxicology., 32(61), 1994 [PMID:8308950]","Dimethoate",NA
"3082","rat","LD50","oral","60 mg/kg","NULL","Yakkyoku.  Pharmacy., 30(623), 1979","Dimethoate",NA
"3082","rat","LD50","skin","353 mg/kg","NULL","British Journal of Industrial Medicine., 26(59), 1969 [PMID:5777792]","Dimethoate",NA
"3082","rat","LD50","intraperitoneal","100 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","rat","LD50","subcutaneous","350 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","rat","LD50","intravenous","450 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","rat","LD50","unreported","215 mg/kg","NULL","Yakkyoku.  Pharmacy., 28(225), 1977","Dimethoate",NA
"3082","mouse","LD50","oral","60 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","mouse","LD50","intraperitoneal","45 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","mouse","LD50","unreported","158 mg/kg","NULL","Rinsho Shinkeigaku.  Clinical Neurology., 23(101), 1983","Dimethoate",NA
"3082","dog","LD50","oral","400 mg/kg","NULL","Special Publication of the Entomological Society of America., 78-1(31), 1978","Dimethoate",NA
"3082","cat","LD50","oral","100 mg/kg","BEHAVIORAL: EXCITEMENT","Gigiena i Sanitariya.  For English translation, see HYSAAV., 28(3)(21), 1963","Dimethoate",NA
"3082","rabbit","LD50","oral","300 mg/kg","NULL","Special Publication of the Entomological Society of America., 78-1(31), 1978","Dimethoate",NA
"3082","guinea pig","LD50","oral","350 mg/kg","NULL","Pesticide Chemicals Official Compendium, Association of the American Pesticide Control Officials, Inc., 1966., -(395), 1966","Dimethoate",NA
"3082","guinea pig","LD50","skin","965 mg/kg","NULL","Toxicology and Applied Pharmacology., 3(210), 1961 [PMID:13784573]","Dimethoate",NA
"3082","guinea pig","LD10","intraperitoneal","390 mg/kg","NULL","Toxicology and Applied Pharmacology., 8(259), 1966 [PMID:5956878]","Dimethoate",NA
"3082","hamster","LD50","intraperitoneal","160 mg/kg","NULL","Archives of Toxicology., 58(152), 1986 [PMID:3964078]","Dimethoate",NA
"3082","hamster","LD50","subcutaneous","60 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","chicken","LD50","oral","25 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 11(91), 1963","Dimethoate",NA
"3082","quail","LD50","oral","25 mg/kg","NULL","Journal of Agricultural and Food Chemistry., 29(772), 1981 [PMID:7276382]","Dimethoate",NA
"3082","duck","LD50","oral","42 mg/kg","NULL","Down to Earth., 35(25), 1979","Dimethoate",NA
"3082","mouse","LD50","subcutaneous","60 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"3082","hamster","LD50","oral","200 mg/kg","SENSE ORGANS AND SPECIAL SENSES: LACRIMATION: EYE; LUNGS, THORAX, OR RESPIRATION: DYSPNEA; GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDS","British Journal of Industrial Medicine., 21(52), 1964 [PMID:14106136]","Dimethoate",NA
"31070","rat","LD50","oral","8 mg/kg","NULL","Bulletin of the Entomological Society of America., 15(116), 1969","Fenamiphos",NA
"31070","rat","LD50","skin","80 mg/kg","NULL","Farm Chemicals Handbook., -(C216), 1991","Fenamiphos",NA
"31070","dog","LD50","oral","10 mg/kg","NULL","Pesticide Index, Frear, E.H., ed., State College, PA, College Science Pub., 1969, 5(112), 1976","Fenamiphos",NA
"31070","cat","LD50","oral","10 mg/kg","NULL","Wirksubstanzen der Pflanzenschutz und Schadlingsbekampfungsmittel, Perkow, W., Berlin, Verlag Paul Parey, 1971-1976, -(-), 1971/1976","Fenamiphos",NA
"31070","rabbit","LD50","oral","10 mg/kg","NULL","Documentation of the Threshold Limit Values for Substances in Workroom Air, Supplements. For publisher information, see 85INA8., 4(191), 1982","Fenamiphos",NA
"31070","rabbit","LD50","skin","178 mg/kg","NULL","Documentation of the Threshold Limit Values for Substances in Workroom Air, Supplements. For publisher information, see 85INA8., 4(191), 1982","Fenamiphos",NA
"31070","chicken","LD50","oral","12 mg/kg","NULL","Pesticide Manual., 9(361), 1991","Fenamiphos",NA
"31070","quail","LD50","oral","1 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: ATAXIA; LUNGS, THORAX, OR RESPIRATION: DYSPNEA","Ecotoxicology and Environmental Safety., 8(551), 1984 [PMID:6510327]","Fenamiphos",NA
"31070","duck","LD50","skin","24 mg/kg","NULL","Toxicology and Applied Pharmacology., 47(451), 1979 [PMID:442090]","Fenamiphos",NA
"31099","rat","LD50","oral","20 mg/kg","NULL","World Review of Pest Control., 9(119), 1970","Formetanate",NA
"31099","rat","LD50","skin","5600 mg/kg","NULL","Defense des Vegetaux., 28(43), 1974","Formetanate",NA
"31099","mouse","LD50","oral","18 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A216(1983)","Formetanate",NA
"31099","dog","LD50","oral","19 mg/kg","NULL","Agrochemicals Handbook, with updates, Hartley, D., and H. Kidd, eds., Nottingham, Royal Soc of Chemistry, 1983-86, A216(1983)","Formetanate",NA
"31099","rabbit","LD50","skin","10200 mg/kg","NULL","Defense des Vegetaux., 28(43), 1974","Formetanate",NA
"3120","rat","LD50","oral","1017 mg/kg","BEHAVIORAL: GENERAL ANESTHETIC; BEHAVIORAL: ATAXIA","Journal of Agricultural and Food Chemistry., 18(1104), 1970 [PMID:5483048]","Diuron",NA
"3120","rat","LD50","unreported","3400 mg/kg","NULL","Chemistry of Pesticides, Melnikov, N.N., New York, Springer-Verlag New York, Inc., 1971, -(231), 1971","Diuron",NA
"3120","mouse","LD50","intraperitoneal","500 mg/kg","NULL","National Technical Information Service., AD277-689","Diuron",NA
"32154","rat","LD50","oral","3350 mg/kg","NULL","Defense des Vegetaux., 26(192), 1972","Propyzamide",NA
"32154","rabbit","LDLo","skin","3160 mg/kg","NULL","Defense des Vegetaux., 26(192), 1972","Propyzamide",NA
"3224","man","LDLo","oral","260 mg/kg","BRAIN AND COVERINGS: CHANGES IN SURFACE EEG; BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; LUNGS, THORAX, OR RESPIRATION: FIBROSIS, FOCAL (PNEUMOCONIOSIS)","Journal of Toxicology, Clinical Toxicology., 36(345), 1998 [PMID:9711201]","Endosulfan",NA
"3224","man","TDLo","oral","86 mg/kg","BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLD; BEHAVIORAL: COMA; LUNGS, THORAX, OR RESPIRATION: CYANOSIS","Journal of Toxicology, Clinical Toxicology., 26(265), 1988 [PMID:3418779]","Endosulfan",NA
"3224","rat","LD50","oral","18 mg/kg","NULL","Agricultural Research Service, USDA Information Memorandum., 20(9), 1966","Endosulfan",NA
"3224","rat","LD50","skin","34 mg/kg","NULL","Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure, Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982, -(72), 1982","Endosulfan",NA
